"ISO3166_1","ph_class","area_km","prop"
NA,NA,NA,NA
"SS","ph_class3",21506.25,0.390525694570547
"SS","ph_class4",7531.25,0.136757762847285
"SS","ph_class5",5523.5,0.100299618667151
"KE","ph_class1",7251.75,0.081152308505787
"KE","ph_class2",54956.5,0.615002839645366
"KE","ph_class3",22936.5,0.25667596429041
"KE","ph_class4",2613.5,0.0292469484303615
"KE","ph_class5",1601.5,0.017921939128075
"UG","ph_class1",7958.75,0.0907491975530356
"UG","ph_class2",75145,0.856836620087685
"UG","ph_class3",3751,0.0427705657322364
"UG","ph_class4",772.75,0.00881123824835662
"UG","ph_class5",73,0.000832378378686553
"TZ","ph_class1",16098.5,0.0681506693463805
"TZ","ph_class2",174478.5,0.73862947240752
"TZ","ph_class3",44419.25,0.188042464786422
"TZ","ph_class4",1141,0.00483025832992019
"TZ","ph_class5",82,0.00034713512975763
"MZ","ph_class1",2301.75,0.019929045929665
"MZ","ph_class2",103595.25,0.896949927379223
"MZ","ph_class3",9011.25,0.0780213381703893
"MZ","ph_class4",587,0.00508237209111039
"MZ","ph_class5",2,1.73164296119605e-05
"MG","ph_class1",12553.25,0.411271827801985
"MG","ph_class2",15830,0.518625298954887
"MG","ph_class3",2139.75,0.0701028732431281
"MG","ph_class4",0,0
"MG","ph_class5",0,0
"MW","ph_class1",1103,0.0254334993543627
"MW","ph_class2",38532,0.888489208633094
"MW","ph_class3",3733,0.0860772920125438
"MW","ph_class4",0,0
"MW","ph_class5",0,0
"ZM","ph_class1",7294,0.142118133018987
"ZM","ph_class2",42867,0.835231424201389
"ZM","ph_class3",1162.5,0.0226504427796234
"ZM","ph_class4",0,0
"ZM","ph_class5",0,0
"ZW","ph_class1",123.25,0.000913898863094984
"ZW","ph_class2",95504,0.708162247635078
"ZW","ph_class3",38411.5,0.284821307746637
"ZW","ph_class4",819,0.00607288575151961
"ZW","ph_class5",4,2.96600036704255e-05
"BW","ph_class1",1.5,4.4431608646391e-05
"BW","ph_class2",18467,0.547012344581936
"BW","ph_class3",14622.25,0.433126726353128
"BW","ph_class4",585.75,0.0173505431764157
"BW","ph_class5",83.25,0.0024659542798747
"NA","ph_class1",0,0
"NA","ph_class2",5800.75,0.21153828621441
"NA","ph_class3",12476.75,0.454994666642355
"NA","ph_class4",5358,0.195392343668803
"NA","ph_class5",3786.25,0.138074703474432
"AO","ph_class1",13425,0.269505254599657
"AO","ph_class2",31293.25,0.628208216648097
"AO","ph_class3",4508.25,0.0905025746032702
"AO","ph_class4",457,0.00917421984000321
"AO","ph_class5",130,0.00260973430897247
"BI","ph_class1",16417,0.787291691643688
"BI","ph_class2",4435.5,0.212708308356312
"BI","ph_class3",0,0
"BI","ph_class4",0,0
"BI","ph_class5",0,0
"RW","ph_class1",10194.25,0.624666809644903
"RW","ph_class2",6121.75,0.375118723000092
"RW","ph_class3",3.5,0.000214467355004749
"RW","ph_class4",0,0
"RW","ph_class5",0,0
"ZA","ph_class1",667,0.00552558274394474
"ZA","ph_class2",70131,0.58098147438619
"ZA","ph_class3",45045.75,0.373169443610268
"ZA","ph_class4",4315.25,0.0357485321376425
"ZA","ph_class5",552.25,0.00457496712195425
"LS","ph_class1",5,0.000937382827146607
"LS","ph_class2",4388.25,0.822694038245219
"LS","ph_class3",837.75,0.157058492688414
"LS","ph_class4",103,0.0193100862392201
"LS","ph_class5",0,0
"SZ","ph_class1",0,0
"SZ","ph_class2",2817.5,0.716829919857525
"SZ","ph_class3",1111,0.282661239028113
"SZ","ph_class4",2,0.00050884111436204
"SZ","ph_class5",0,0
"SSA","ph_class1",433869.25,0.129889199414634
"SSA","ph_class2",2033532.75,0.608786958008522
"SSA","ph_class3",714408.75,0.213875448864628
"SSA","ph_class4",99022.75,0.0296448428215077
"SSA","ph_class5",59469.25,0.0178035508907089
