ISO3166_1,ph_class,population
NG,pop_class3,199613.0842
SU,pop_class3,2166389.259
ER,pop_class3,412185.9925
ET,pop_class3,2622162.495
DJ,pop_class3,12236.18208
SO,pop_class3,846824.333
OD,pop_class3,54212.85501
KE,pop_class3,198604.839
UG,pop_class3,37523.81376
TZ,pop_class3,394622.2676
MZ,pop_class3,55.15072468
MA,pop_class3,10834.93962
MR,pop_class3,108742.4852
ML,pop_class3,19912.03086
UV,pop_class3,6182.082738
TO,pop_class3,0
GH,pop_class3,0
IV,pop_class3,0
GV,pop_class3,0
SG,pop_class3,281944.3076
GA,pop_class3,0
PU,pop_class3,0
SL,pop_class3,0
LI,pop_class3,0
BN,pop_class3,0
NI,pop_class3,145722.9183
CM,pop_class3,644.366819
EK,pop_class3,0
GB,pop_class3,0
CF,pop_class3,0
CT,pop_class3,0
CG,pop_class3,91.90333557
SSA,pop_class3,8387327.333
CD,pop_class4,7178.405127
MI,pop_class4,0
ZA,pop_class4,0
ZI,pop_class4,436.2584298
BC,pop_class4,4123.563468
WA,pop_class4,324687.4321
AO,pop_class4,49092.03949
BY,pop_class4,0
RW,pop_class4,0
SF,pop_class4,60305.22358
LT,pop_class4,0
WZ,pop_class4,0
NG,pop_class4,9301.440044
SU,pop_class4,5187736.608
ER,pop_class4,137256.2643
ET,pop_class4,1372002.44
DJ,pop_class4,8436.974806
SO,pop_class4,947948.892
OD,pop_class4,18670.81532
KE,pop_class4,145762.2313
UG,pop_class4,0
TZ,pop_class4,39234.55554
MZ,pop_class4,0
MA,pop_class4,146.5171285
MR,pop_class4,7444.66091
ML,pop_class4,169.3870892
UV,pop_class4,0
TO,pop_class4,0
GH,pop_class4,0
IV,pop_class4,0
GV,pop_class4,0
SG,pop_class4,10549.78917
GA,pop_class4,0
PU,pop_class4,0
SL,pop_class4,0
LI,pop_class4,0
BN,pop_class4,0
NI,pop_class4,3793.418521
CM,pop_class4,0
EK,pop_class4,0
GB,pop_class4,0
CF,pop_class4,0
CT,pop_class4,0
CG,pop_class4,144.4039764
SSA,pop_class4,8334421.32
